,protein,total_fat,carbohydrates,label,name,food_energy,labels_names
2284,1.195492029,10.85074997,3.573192835,29,עגבניות מטוגנות בשמן קנולה,117.4819946,לא סווג
2285,1.195492029,10.85074997,3.573192835,29,עגבניות מטוגנות בשמן סויה,117.4819946,לא סווג
2286,1.74000001,1.830000043,8.670000076,12,"עגבניות, טריות, מבושלות, עם מלח",59.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2287,0.910000026,0.189999998,5.190000057,12,"עגבניות, משומרות, צלויות",26.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2288,1.299999952,0.400000006,3.0,12,"עגבניות מקולפות קוביות/חתוכות/שלמות, טל",20.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2289,1.639999986,0.280000001,5.389999866,12,"עגבניות כתושות, קבוצת יבנה",32.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2290,1.600000024,0.0,5.900000095,12,"עגבניות מרוסקות (Plain,שום,בצל,בזיליקום),מילוז",35.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2291,1.090000033,0.239999995,7.139999866,12,"עגבניות, ירוקות, כבושות, עם תוספת סוכר",36.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2292,14.10999966,2.970000029,43.45999908,5,"עגבניות, אדומות, מיובשות, עם מלח",258.0,1.2 דברי מאפה (לחמים) מדגן מלא
2293,3.5,40.40000153,12.60000038,21,"עגבניות מיובשות בשמן, אוליביה",428.0,לא סווג
2294,1.192679048,2.825285435,4.190135002,12,סלט מטבוחה עם שמן קנולה,48.18276215,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2295,1.192679048,2.825285435,4.190135002,12,סלט מטבוחה בשמן סויה,48.18276215,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2296,1.600000024,4.599999905,12.30000019,12,"סלט תורכי איסטנבול , שמיר",97.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
