,protein,total_fat,carbohydrates,label,name,food_energy,labels_names
2015,2.200000048,0.699999988,12.97999954,28,"פסיפלורה, פרי התאוה, חי",97.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2016,0.910000026,0.25,8.039999962,16,"אפרסק, חי",39.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2017,0.873600006,0.239999995,9.158399582,28,"אפרסק, עם גלעין",37.43999863,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2018,0.439999998,0.059999999,4.809999943,16,"אפרסק, משומר או מבושל, ללא תוספת סוכר, במים",24.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2019,0.449999988,0.100000001,18.63999939,14,"אפרסק, מבושל או משומר, בסירופ כבד",74.0,1.1 דגנים מלאים 1.5 ירקות עמילניים 6.2 מוצרי חלב ממותקים בסוכר
2020,0.449999988,0.029999999,13.25,28,"אפרסק, מבושל או משומר, בסירופ קל או בינוני",54.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2021,0.519999981,0.180000007,17.22999954,28,"אפרסק, מבושל או משומר, ללא נוזלים",72.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2022,0.629999995,0.029999999,10.27000046,28,"אפרסק, מבושל או משומר, במיץ",44.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2023,0.360000014,0.140000001,12.13000011,28,"אגס, חי",57.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2024,0.360000014,0.140000001,15.22999954,28,"אגס, בלי קליפה",57.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2025,0.324000001,0.126000002,10.89999962,28,"אגס, עם גבעול וגרעינים",51.29999924,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2026,0.189999998,0.029999999,6.210000038,16,"אגס, מבושל או משומר, ללא תוספת סוכר, במים",29.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2027,0.200000003,0.129999995,17.56999969,28,"אגס, מבושל או משומר, בסירופ כבד",74.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2028,0.189999998,0.029999999,13.56999969,28,"אגס, מבושל או משומר, בסירופ קל",57.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2029,0.239999995,0.180000007,16.37999916,28,"אגס, מבושל או משומר, ללא נוזלים",74.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2030,0.248138949,0.17866005,24.37137985,20,"אגס, אפוי ",104.8800659,1.3 דגנים לא מלאים
2031,0.340000004,0.07,11.34000015,28,"אגס, מבושל או משומר, במיץ",50.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2032,0.579999983,0.189999998,14.98999977,28,"אפרסמון, חי",70.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2033,0.487199992,0.159600005,15.61559963,28,"אפרסמון, עם קליפה בלי גביע",58.79999924,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2034,0.540000021,0.119999997,11.72000027,28,"אננס, חי",50.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
