,protein,total_fat,carbohydrates,alcohol,label,name,food_energy,labels_names
3518,22.39999962,25.89999962,47.70000076,0.0,2,"תמ""י, הדסה שייק, אבקה, טעמים שונים",509.0,דברי מאפה מלוחים
3519,0.0,23.70000076,71.80000305,0.0,20,"תמ""י, הדסה שייק ללא חלבון, אבקה, טעמים שונים",497.0,קבוצת הסוכרים
3520,19.39999962,35.70000076,38.20000076,0.0,14,"תמ""י, פודינג 475, אבקה, טעמים שונים, הדסה",557.0,לא סווג
3521,5.5,33.09999847,50.70000076,0.0,25,"תמ""י, פודינג Pre-D, אבקה, טעמים שונים, הדסה",518.0,דברי מאפה מתוקים
3522,75.0,4.5,14.60000038,0.0,15,"תמ""י, הדסה Whey, חלבון מי גבינה, אבקה ",393.0,לא סווג
3523,13.5,18.39999962,50.09999847,0.0,2,"תמ""י, הדסה מיץ, אבקה, תפוז",424.0,דברי מאפה מלוחים
3524,0.0,0.0,93.0,0.0,17,"תמ""י, הדסה קלורי, אבקה ",377.0,לא סווג
3525,17.5,1.0,4.0,0.0,1,"נקניק, פסטרמה חזה עוף והודו, עמק/ברביקיו, יחיעם",95.0,"קבוצת הבשר - עוף הודו
 קבוצת הבשר - דגים
 קבוצת הבשר - בשר בקר וצאן
 קבוצת הבשר - תחליפי בשר מהצומח
 ביצים
 מוצרי חלב דל שומן
 תחליפי בשר (לייט)"
3526,17.5,1.0,6.0,0.0,1,"נקניק, פסטרמה חזה הודו ועוף בדבש, דק דק, יחיעם",103.0,"קבוצת הבשר - עוף הודו
 קבוצת הבשר - דגים
 קבוצת הבשר - בשר בקר וצאן
 קבוצת הבשר - תחליפי בשר מהצומח
 ביצים
 מוצרי חלב דל שומן
 תחליפי בשר (לייט)"
3527,21.0,29.0,6.0,0.0,18,"נקניק, סלמי מעושן, יחיעם/זוגלובק",361.0,לא סווג
3528,1.299999952,2.200000048,12.10000038,0.0,19,"מרק תירס עם המון אטריות, נמס בכוס, מוכן מאבקה, קנור",73.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3529,1.737492442,0.899999976,22.70000076,0.0,9,"רוטב לעוף, שום ועשבי תיבול/ שום ודבש/ צ'ילי ושום, קנור",106.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3530,9.0,10.5,63.29999924,0.0,20,"דגני בוקר, POST Great Grains Crunchy Pecan Cereal",403.0,קבוצת הסוכרים
3531,3.65,9.0,23.0,0.0,9,"גלידה בשומן צמחי, 3-5 טעמים/פיסטוק מוקה, שטראוס",188.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3532,0.699999988,1.299999952,6.699999809,0.0,19,"מרק ברוקולי, נמס בכוס,מוכן מאבקה, קנור",41.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3533,0.5,1.200000048,8.0,0.0,19,"מרק תירס, נמס בכוס/מוקרם, מוכן מאבקה, קנור",45.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
